txn_id,product_group,quantity,unit_price,declared_value,country_origin,country_risk,peer_median,robust_z,abs_robust_z,ensemble_score,risk_level,predicted_direction,anomaly_label,true_direction,explanation
TXN00001,electronics,23,391.4,9002.2,UAE,1,448.44,-1.8893673401162854,1.8893673401162854,0.05913286281974108,LOW,NORMAL,0,NORMAL,High-risk trade corridor
TXN00002,raw_materials,60,43.52,2611.2,Panama,1,40.25,1.0565428106440897,1.0565428106440897,0.039233866337132536,LOW,NORMAL,0,NORMAL,High-risk trade corridor
TXN00003,textile,57,14.62,833.34,Malta,1,14.05,0.48305084704826007,0.48305084704826007,0.019032998444374886,LOW,NORMAL,0,NORMAL,High-risk trade corridor
TXN00004,raw_materials,25,37.28,932.0,Cayman Islands,1,40.25,-0.9596122775574747,0.9596122775574747,0.03035086246661458,LOW,NORMAL,0,NORMAL,High-risk trade corridor
TXN00005,electronics,48,466.44,22389.12,Seychelles,1,448.44,0.5962239151839608,0.5962239151839608,0.02525942656149735,LOW,NORMAL,0,NORMAL,High-risk trade corridor
TXN00006,raw_materials,75,37.95,2846.25,UAE,1,40.25,-0.7431340869973704,0.7431340869973704,0.02422648496193063,LOW,NORMAL,0,NORMAL,High-risk trade corridor
TXN00007,medical_devices,89,734.04,65329.56,Australia,0,797.005,-1.076969126809596,1.076969126809596,0.03910066417500546,LOW,NORMAL,0,NORMAL,No significant risk signals
TXN00008,textile,91,14.91,1356.81,Seychelles,1,14.05,0.7288135587043938,0.7288135587043938,0.029117874706271814,LOW,NORMAL,0,NORMAL,High-risk trade corridor
TXN00009,raw_materials,65,40.89,2657.85,Cayman Islands,1,40.25,0.20678513725144262,0.20678513725144262,0.010737725200365335,LOW,NORMAL,0,NORMAL,High-risk trade corridor
TXN00010,chemicals,93,99.02,9208.86,Cayman Islands,1,119.84,-2.055281342343999,2.055281342343999,0.0767993980809414,LOW,NORMAL,0,NORMAL,High-risk trade corridor
TXN00011,machinery,37,1278.78,47314.86,UAE,1,1411.0,-1.2700028815553754,1.2700028815553754,0.06022528757937132,LOW,NORMAL,0,NORMAL,High-risk trade corridor
TXN00012,food_products,118,5.44,641.92,Cayman Islands,1,5.05,0.7090909078016542,0.7090909078016542,0.028722140674589988,LOW,NORMAL,0,NORMAL,High-risk trade corridor
TXN00013,electronics,102,441.39,45021.78,Vietnam,0,448.44,-0.2335210334470517,0.2335210334470517,0.011396898058915497,LOW,NORMAL,0,NORMAL,No significant risk signals
